Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-03-26,Fish Tank,2009,https://boxd.it/dG7QeP,1.5,,,2026-03-25
2026-03-28,Malena,2000,https://boxd.it/dIehc7,1,,,2026-03-28
2026-03-28,Things to Come,2016,https://boxd.it/dIiczj,2.5,,,2026-03-28
2026-03-29,Petite Maman,2021,https://boxd.it/dIxQyb,5,,,2026-03-28
2026-03-29,Punch-Drunk Love,2002,https://boxd.it/dIEi6B,4.5,,,2026-03-29
2026-03-30,Dhurandhar The Revenge,2026,https://boxd.it/dJpejb,,,,2026-03-29
2026-04-01,Two People Exchanging Saliva,2024,https://boxd.it/dLB8VP,4,Yes,,2026-03-31
2026-04-02,Donnie Darko,2001,https://boxd.it/dMrVpR,4.5,,,2026-04-01
2026-04-03,Ghost Rider,2007,https://boxd.it/dNg7XB,,Yes,,2026-04-02
2026-04-03,Ghost Rider: Spirit of Vengeance,2011,https://boxd.it/dNXckl,,Yes,,2026-04-03
2026-04-04,"Synecdoche, New York",2008,https://boxd.it/dO23Af,4,,,2026-04-03
2026-04-07,Adventures in Babysitting,1987,https://boxd.it/dRyba1,5,Yes,,2026-04-06
2026-04-11,Aftersun,2022,https://boxd.it/dUZEqX,5,,,2026-04-11
2026-04-14,Entourage,2015,https://boxd.it/dXL5Qv,3.5,,,2026-04-13
2026-04-15,But I'm a Cheerleader,1999,https://boxd.it/dYwdN9,3,,,2026-04-14
2026-04-17,La Haine,1995,https://boxd.it/dZTqDr,4.5,,,2026-04-16
2026-04-17,PlayTime,1967,https://boxd.it/dZTZ3D,4,,,2026-04-16
2026-04-17,Jumbo,2020,https://boxd.it/e04dLT,0.5,,,2026-04-17
2026-04-18,Tu Yaa Main,2026,https://boxd.it/e0ExAD,2,,,2026-04-17
2026-04-18,Do Deewane Seher Mein,2026,https://boxd.it/e0IaMT,2,,,2026-04-17
2026-04-18,Little Things,2025,https://boxd.it/e0LzFp,4.5,,,2026-04-17
2026-04-19,Miracle Mile,1988,https://boxd.it/e1Dc2x,,Yes,,2026-04-19
2026-04-19,The Sure Thing,1985,https://boxd.it/e1I4Bz,4,,,2026-04-19
2026-04-19,The Last Picture Show,1971,https://boxd.it/e1NdaR,4,,,2026-04-19
2026-04-19,Face/Off,1997,https://boxd.it/e2hpeh,4,,,2026-04-19
2026-04-24,Say Anything...,1989,https://boxd.it/e5C8qT,4.5,,,2026-04-24
2026-04-24,Secret Admirer,1985,https://boxd.it/e5Ef7t,4.5,,,2026-04-24
2026-04-24,While We Watched,2022,https://boxd.it/e61mYv,,,,2026-04-24
2026-04-26,Raising Arizona,1987,https://boxd.it/e6SVZf,5,,,2026-04-25
2026-04-26,Buffalo '66,1998,https://boxd.it/e79Jeb,3,,,2026-04-26
2026-04-27,Zabriskie Point,1970,https://boxd.it/e7Pwvn,4,,,2026-04-26
2026-04-27,Me & You,2012,https://boxd.it/e7RjRT,2,,,2026-04-26
2026-04-27,The Shining,1980,https://boxd.it/e7Yped,4,,,2026-04-26
2026-05-01,Bend It Like Beckham,2002,https://boxd.it/ebwm7t,5,,,2026-05-01
2026-05-02,Bridget Jones's Diary,2001,https://boxd.it/ebCNsF,2,,,2026-05-01
2026-05-02,Hoppers,2026,https://boxd.it/ebHbkX,3.5,,,2026-05-01
2026-05-02,Project Hail Mary,2026,https://boxd.it/ebNO39,5,,,2026-05-01
2026-05-02,Nowhere,1997,https://boxd.it/ebVJRJ,4.5,,,2026-05-02
2026-05-04,Whisper of the Heart,1995,https://boxd.it/edI6O9,4,,,2026-05-03
2026-05-04,Friday,1995,https://boxd.it/eeqgO7,5,,,2026-05-04
2026-05-05,Next Friday,2000,https://boxd.it/eexp3j,4.5,,,2026-05-04
2026-05-05,Friday After Next,2002,https://boxd.it/eeyYMF,4.5,,,2026-05-04
2026-05-05,The Matrix,1999,https://boxd.it/eeEYG5,4.5,,,2026-05-04
2026-05-05,The Matrix Reloaded,2003,https://boxd.it/eeJUeL,4,,,2026-05-05
2026-05-05,The Matrix Revolutions,2003,https://boxd.it/eeMxdB,4,,,2026-05-05
2026-05-05,John Tucker Must Die,2006,https://boxd.it/eeQjMv,4,,,2026-05-05
2026-05-05,The Drama,2026,https://boxd.it/efcy6j,3.5,,,2026-05-05
2026-05-06,The Florida Project,2017,https://boxd.it/efi5R3,3,,,2026-05-05
2026-05-15,In the Cut,2003,https://boxd.it/emvi9H,4.5,,,2026-05-15
2026-05-15,The Comfort of Strangers,1990,https://boxd.it/emyonB,,,,2026-05-15
2026-05-17,Senseless,1998,https://boxd.it/enUIfZ,,,,2026-05-16
2026-05-17,The Batman,2022,https://boxd.it/eoE5bB,5,Yes,,2026-05-17
2026-05-18,Uncut Gems,2019,https://boxd.it/eoLpFv,,,,2026-05-17
2026-05-18,Good Time,2017,https://boxd.it/eoMYe7,,,,2026-05-17
2026-05-20,Desert Hearts,1985,https://boxd.it/eratwl,,,,2026-05-20
2026-05-22,Heat,1995,https://boxd.it/esAHTp,5,Yes,,2026-05-22
2026-05-23,Lost Highway,1997,https://boxd.it/esFOUp,,,,2026-05-22
2026-05-23,Tom Clancy's Jack Ryan: Ghost War,2026,https://boxd.it/esJ5hP,2,,,2026-05-22
2026-05-23,That Night,1992,https://boxd.it/esMvgT,,,,2026-05-22
2026-05-29,Dog Day Afternoon,1975,https://boxd.it/ey7cAn,5,,,2026-05-29
2026-05-30,Berlin and the Lady with an Ermine,2026,https://boxd.it/eyMGUJ,3.5,,,2026-05-29
2026-05-30,Me and Earl and the Dying Girl,2015,https://boxd.it/eyQURR,5,,,2026-05-30
2026-05-30,Iron Lung,2026,https://boxd.it/ezpsn5,3.5,,,2026-05-30
2026-05-30,Mortal Kombat II,2026,https://boxd.it/ezqlnp,1.5,,,2026-05-30
2026-05-31,Stand by Me,1986,https://boxd.it/ezOjg5,5,,,2026-05-31
2026-06-01,Riding in Cars with Boys,2001,https://boxd.it/eAGeVv,5,,,2026-05-31
2026-06-01,Humanist Vampire Seeking Consenting Suicidal Person,2023,https://boxd.it/eAIAYl,4.5,,,2026-05-31
